chr	start	end	length	sequence	chip.sample001.tsv	chip.sample002.tsv	chip.sample003.tsv	chip.sample004.tsv	chip.sample005.tsv	chip.sample006.tsv	chip.sample007.tsv	chip.sample008.tsv	chip.sample009.tsv	chip.sample010.tsv
ENSG00000000003	X	100627108	100639991	12883	NA	84	52	137	97	38	52	41	34	551	641
ENSG00000000005	X	100584801	100599885	15084	NA	0	0	1	0	1	1	3	0	1	3
ENSG00000000419	20	50934866	50958555	23689	NA	68	76	154	213	261	202	321	434	517	399
ENSG00000000457	1	169849630	169894267	44637	NA	43	46	111	115	152	199	187	176	329	222
ENSG00000000460	1	169662006	169854080	192074	NA	2	18	27	28	61	72	112	166	100	53
ENSG00000000938	1	27612063	27635277	23214	NA	187	363	449	330	303	402	312	540	1218	808
ENSG00000000971	1	196651877	196747504	95627	NA	434	395	782	896	309	324	453	853	2140	3247
ENSG00000001036	6	143494810	143511690	16880	NA	68	127	245	154	92	84	94	118	526	334
ENSG00000001084	6	53497340	53616970	119630	NA	73	81	171	713	352	198	262	523	472	549
ENSG00000001167	6	41072944	41099976	27032	NA	78	116	202	201	303	352	334	405	578	548
ENSG00000001460	1	24356998	24416934	59936	NA	48	36	56	24	40	41	22	59	183	296
ENSG00000001461	1	24415793	24472976	57183	NA	197	222	319	195	274	280	294	331	1320	968
ENSG00000001497	X	65512581	65534775	22194	NA	99	100	179	197	331	391	358	443	713	646
ENSG00000001561	6	46129992	46146699	16707	NA	272	282	487	174	173	236	211	263	1689	1256
ENSG00000001617	3	50155044	50189075	34031	NA	194	191	332	107	30	46	43	61	715	344
ENSG00000001626	7	117465783	117715971	250188	NA	51	143	225	1	0	3	2	0	968	698
ENSG00000001629	7	92246233	92401384	155151	NA	206	191	347	347	424	489	518	766	1239	1029
ENSG00000001630	7	92112150	92142952	30802	NA	0	16	16	1	1	1	3	1	44	28
ENSG00000001631	7	92198968	92246166	47198	NA	126	149	186	175	401	358	361	363	1006	707
ENSG00000002016	12	912076	990053	77977	NA	29	39	52	52	103	119	82	90	258	148
ENSG00000002079	7	99238793	99311130	72337	NA	0	2	0	0	1	1	3	0	5	0
ENSG00000002330	11	64269829	64284704	14875	NA	5	16	13	4	3	6	8	6	16	16
ENSG00000002549	4	17577191	17607972	30781	NA	479	736	1170	2314	932	1013	1130	2534	2101	2489
ENSG00000002586	X	2691178	2741309	50131	NA	309	436	768	950	673	554	788	572	2489	1901
ENSG00000002587	4	11393149	11429765	36616	NA	17	15	21	34	41	58	42	27	114	110
ENSG00000002726	7	150824626	150861504	36878	NA	1	5	13	2	18	15	25	2	4	15
ENSG00000002745	7	121325366	121341104	15738	NA	0	1	0	11	16	37	9	5	1	4
ENSG00000002746	7	43112598	43566001	453403	NA	0	1	1	0	0	2	1	1	6	7
ENSG00000002822	7	1815792	2233243	417451	NA	50	78	107	181	179	111	139	161	251	211
ENSG00000002834	17	38869858	38921770	51912	NA	658	611	1202	1218	1064	1112	1433	1416	3417	2507
ENSG00000002919	17	48103356	48123074	19718	NA	72	69	133	251	228	207	218	292	391	302
ENSG00000002933	7	150800402	150805120	4718	NA	74	160	170	568	221	265	287	335	388	276
ENSG00000003056	12	8940362	8949955	9593	NA	257	285	497	599	711	783	842	781	1709	1193
ENSG00000003096	X	117897812	118117340	219528	NA	6	5	22	2	9	12	15	6	73	143
ENSG00000003137	2	72129237	72148038	18801	NA	60	6	81	128	49	130	121	81	350	97
ENSG00000003147	7	8113183	8262687	149504	NA	63	64	108	60	106	98	109	326	285	380
ENSG00000003249	16	90004864	90020128	15264	NA	13	33	34	18	55	74	41	44	65	124
ENSG00000003393	2	201700553	201781189	80636	NA	137	135	221	137	121	144	140	149	894	686
ENSG00000003400	2	201182880	201229406	46526	NA	97	127	251	204	200	275	190	154	884	685
ENSG00000003402	2	201116103	201176687	60584	NA	816	1040	1173	1267	1403	1345	1297	1745	5832	6238
ENSG00000003436	2	187464229	187565760	101531	NA	881	675	1081	724	329	306	312	287	3937	2254
ENSG00000003509	2	37231630	37253403	21773	NA	44	53	62	88	194	147	145	173	283	227
ENSG00000003756	3	50088907	50119021	30114	NA	311	358	479	699	1340	1209	1234	929	2816	2407
ENSG00000003987	8	17298029	17413528	115499	NA	5	4	11	4	10	9	6	9	40	45
ENSG00000003989	8	17497087	17570573	73486	NA	128	125	223	161	55	185	195	56	775	1765
ENSG00000004059	7	127588344	127591705	3361	NA	70	183	311	344	327	202	295	395	721	696
ENSG00000004139	17	28364355	28404049	39694	NA	23	29	36	32	29	40	55	28	148	106
ENSG00000004142	17	28347176	28357522	10346	NA	168	234	378	392	328	301	445	632	998	815
ENSG00000004399	3	129555174	129606818	51644	NA	1126	1074	1454	1186	566	964	815	790	4916	3055
ENSG00000004455	1	33007939	33080996	73057	NA	308	358	697	507	802	689	822	1256	1979	1546
ENSG00000004468	4	15778274	15853230	74956	NA	33	96	163	685	542	376	1026	1044	153	1091
ENSG00000004478	12	2794952	2805423	10471	NA	125	99	254	204	286	188	212	361	905	376
ENSG00000004487	1	23019447	23083689	64242	NA	189	211	330	353	633	500	766	682	1200	911
ENSG00000004534	3	49940006	50100045	160039	NA	410	407	728	479	2151	1495	2165	1524	2672	2348
ENSG00000004660	17	3860314	3894891	34577	NA	37	35	95	61	63	51	37	43	255	157
ENSG00000004700	12	21468910	21501669	32759	NA	93	134	266	238	373	426	438	652	617	480
ENSG00000004766	7	93232339	93361121	128782	NA	96	78	181	177	260	225	221	263	621	404
ENSG00000004776	19	35754567	35758079	3512	NA	4	53	25	1	0	0	5	0	55	38
ENSG00000004777	19	35774531	35788822	14291	NA	54	55	29	66	159	109	152	97	221	281
ENSG00000004779	16	23581001	23596356	15355	NA	19	65	123	120	179	87	161	154	291	237
ENSG00000004799	7	95583498	95596491	12993	NA	270	575	681	864	348	714	326	288	1498	4756
ENSG00000004809	6	110424686	110476641	51955	NA	0	0	0	0	3	0	0	1	13	0
ENSG00000004838	3	50341109	50346852	5743	NA	9	27	31	4	6	6	7	6	292	902
ENSG00000004846	7	20615206	20777038	161832	NA	0	1	4	0	0	0	5	0	3	8
ENSG00000004848	X	25003693	25015948	12255	NA	0	3	2	0	0	0	1	0	10	25
ENSG00000004864	7	96120219	96322147	201928	NA	68	59	107	81	132	113	149	205	366	248
ENSG00000004866	7	116953237	117230103	276866	NA	88	123	214	87	52	45	72	78	782	566
ENSG00000004897	17	47117702	47189422	71720	NA	182	201	397	316	518	445	682	1002	1326	931
ENSG00000004939	17	44248384	44268141	19757	NA	1	1	0	2	0	0	1	0	1	3
ENSG00000004948	7	93424486	93574730	150244	NA	5	4	5	1	2	2	0	1	9	13
ENSG00000004961	X	11111300	11123078	11778	NA	44	73	89	130	128	104	132	187	290	195
ENSG00000004975	17	7225340	7234545	9205	NA	105	118	137	204	233	268	211	259	620	471
ENSG00000005001	16	2852726	2858170	5444	NA	18	24	33	0	0	1	0	0	135	214
ENSG00000005007	19	18831937	18868236	36299	NA	279	388	441	848	678	822	651	969	1645	1423
ENSG00000005020	7	26667061	26995239	328178	NA	285	285	588	449	631	541	692	1358	1798	1155
ENSG00000005022	X	119468399	119471319	2920	NA	330	455	889	1179	1404	705	1452	2144	2179	1614
ENSG00000005059	4	109560204	109688726	128522	NA	33	52	101	280	563	388	452	574	185	230
ENSG00000005073	7	27181509	27185223	3714	NA	1	0	1	6	0	8	4	1	0	0
ENSG00000005075	7	102473117	102478907	5790	NA	30	45	120	103	126	61	104	77	215	191
ENSG00000005100	17	5440911	5469060	28149	NA	73	88	140	99	165	186	239	269	407	366
ENSG00000005102	17	43640387	43661954	21567	NA	6	4	20	75	87	116	94	45	31	33
ENSG00000005108	7	11370356	11832198	461842	NA	40	36	63	28	11	27	22	29	330	209
ENSG00000005156	17	34980493	35009743	29250	NA	67	73	122	95	128	209	191	222	375	426
